"Id";"Title";"First Name";"Second Name";"Job";"Email";"Alternative Email";"Electorate";"Party";"Portfolios";"Website";"Twitter";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax"
;"Mr";"Tony";"Abbott";"Leader of the Opposition";"Tony.Abbott.MP@aph.gov.au";;"Warringah";"LP";;"http://www.tonyabbott.com.au/";"TonyAbbottMHR";1;1;"PO Box 450";;"Manly";"NSW";2095;"(02) 9977 6411";;"(02) 9977 8715";3;1;"PO Box 6022";"Parliament House";"Canberra";"ACT";2600;"(02) 6277 4022";;"(02) 6277 8562";;;;;;;;;;
;"Mr";"Dick";"Adams";;"dick.adams.mp@aph.gov.au";;"Lyons";"ALP";;"http://www.dickadams.com.au/";;1;1;"PO Box 50";;"Perth";"Tas";7300;"(03) 6398 1115";"1300 132 689";"(03) 6398 1120";3;1;"PO Box 6023";"Parliament House";"Canberra";"ACT";2601;"(02) 6277 4293";;"(02) 6277 8459";;;;;;;;;;
;"Mr";"Anthony";"Albanese";"Leader of the House, Minister for Infrastructure and Transport";"A.Albanese.MP@aph.gov.au";;"Grayndler";"ALP";;"http://www.anthonyalbanese.com.au/";"AlboMP";1;0;"334A Marrickville Road";;"Marrickville";"NSW";2204;"(02) 9564 3588";;"(02) 9564 1734";3;1;"PO Box 6024";"Parliament House";"Canberra";"ACT";2602;"(02) 6277 7680";;"(02) 6273 4126";;;;;;;;;;
;"Mr";"John";"Alexander";;"john.alexander.MP@aph.gov.au";;"Bennelong";"LP";;"http://www.johnalexander.net.au/";"JohnAlexanderMP";1;1;"PO Box 872";;"Epping";"NSW";2121;"(02) 9869 4288";;"(02) 9869 4833";3;1;"PO Box 6025";"Parliament House";"Canberra";"ACT";2603;"(02) 6277 4804";;"(02) 6277 8581";;;;;;;;;;
;"Mrs";"Karen";"Andrews";;"karen.andrews.mp@aph.gov.au";;"McPherson";"LP";;"http://karenandrewsmp.com/";"karenandrewsmp";1;1;"PO Box 409";;"Varsity Lakes";"Qld";4227;"(07) 5580 9111";;"(07) 5580 9700";3;1;"PO Box 6026";"Parliament House";"Canberra";"ACT";2604;"(02) 6277 4360";;"(02) 6277 8462";;;;;;;;;;
;"Mr";"Kevin";"Andrews";;"Kevin.Andrews.MP@aph.gov.au";;"Menzies";"LP";;"http://www.kevinandrews.com.au/";"kevinandrewsmp";1;1;"PO Box 124";;"Doncaster";"Vic";3108;"(03) 9848 9900";;"(03) 9848 2741";3;1;"PO Box 6027";"Parliament House";"Canberra";"ACT";2605;"(02) 6277 4585";;"(02) 6277 8566";;;;;;;;;;
;"Mr";"Bob";"Baldwin";;"Bob.Baldwin.MP@aph.gov.au";;"Paterson";"LP";;"http://www.bobbaldwin.com.au/";"bobbaldwinmp";1;1;"PO Box 156";;"Raymond Terrace";"NSW";2324;"(02) 4983 1330";;"(02) 4987 5444";3;1;"PO Box 6028";"Parliament House";"Canberra";"ACT";2606;"(02) 6277 4200";;"(02) 6277 8447";;;;;;;;;;
;"Mr";"Adam";"Bandt";;"adam.bandt.mp@aph.gov.au";;"Melbourne";"AG";;"http://adam-bandt.greensmps.org.au/";"adambandt";1;0;"280 King St";;"Melbourne";"Vic";3000;"(03) 9642 0922";;"(03) 9642 0599";3;1;"PO Box 6029";"Parliament House";"Canberra";"ACT";2607;"(02) 6277 4775";;"(02) 6277 8583";;;;;;;;;;
;"Mr";"Bruce";"Billson";;"B.Billson.MP@aph.gov.au";;"Dunkley";"LP";;"http://www.billson4dunkley.com/";"BruceBillsonMP";1;1;"PO Box 501";;"Frankston";"Vic";3199;"(03) 9781 2333";;"(03) 9783 7912";3;1;"PO Box 6030";"Parliament House";"Canberra";"ACT";2608;"(02) 6277 4257";;"(02) 6277 8516";;;;;;;;;;
;"Ms";"Sharon";"Bird";"Parliamentary Secretary for Higher Education and Skills";"Sharon.Bird.MP@aph.gov.au";;"Cunningham";"ALP";;"http://www.sharonbird.com.au/";"SharonBirdMP";1;1;"PO Box 387,";;"Wollongong";"NSW";2520;"(02) 4228 5899";;"(02) 4228 5077";3;1;"PO Box 6031";"Parliament House";"Canberra";"ACT";2609;"(02) 6277 4717";;"(02) 6277 8422";;;;;;;;;;
;"Mrs";"Bronwyn";"Bishop";;"Bronwyn.Bishop.MP@aph.gov.au";;"Mackellar";"LP";;;;1;0;"Shop 1";"1238-1246 Pittwater Road";"Narrabeen";"NSW";2101;"(02) 9913 9566";;"(02) 9913 9577";3;1;"PO Box 6032";"Parliament House";"Canberra";"ACT";2610;"(02) 6277 4382";;"(02) 6277 8424";;;;;;;;;;
;"Ms";"Julie";"Bishop";"Deputy Leader of the Opposition";"Julie.Bishop.MP@aph.gov.au";;"Curtin";"LP";;"http://www.juliebishop.com.au/";"JulieBishopMP";1;1;"PO Box 2010";;"Subiaco";"WA";6904;"(08) 9388 0288";;"(08) 9388 0299";3;1;"PO Box 6033";"Parliament House";"Canberra";"ACT";2611;"(02) 6277 2102";;"(02) 6277 8497";;;;;;;;;;
;"Mr";"Chris";"Bowen";"Minister for Immigration and Citizenship";"Chris.Bowen.MP@aph.gov.au";;"McMahon";"ALP";;"http://www.chrisbowen.net/";"Bowenchris";1;1;"PO Box W210";;"Fairfield";"NSW";2165;"(02) 9604 0710";;"(02) 9609 3873";3;1;"PO Box 6034";"Parliament House";"Canberra";"ACT";2612;"(02) 6277 7860";;"(02) 6273 4144";;;;;;;;;;
;"Mr";"David";"Bradbury";"Assistant Treasurer, Minister Assisting for Deregulation";"david.Bradbury.MP@aph.gov.au";;"Lindsay";"ALP";;"http://www.davidbradbury.com.au/";"davidbradburymp";1;1;"PO Box 712";;"Penrith";"NSW";2750;"(02) 4732 1801";;"(02) 4732 1812";3;1;"PO Box 6035";"Parliament House";"Canberra";"ACT";2613;"(02) 6277 7360";;"(02) 6273 4125";;;;;;;;;;
;"Mr";"Jamie";"Briggs";;"jamie.briggs.mp@aph.gov.au";;"Mayo";"LP";;"http://www.jamiebriggs.com.au/";"BriggsJamie";1;1;"PO Box 1601";;"Mount Barker";"SA";5251;"(08) 8398 5566";;"(08) 8398 5577";3;1;"PO Box 6036";"Parliament House";"Canberra";"ACT";2614;"(02) 6277 4120";;"(02) 6277 8414";;;;;;;;;;
;"Mr";"Russell";"Broadbent";;"Russell.Broadbent.MP@aph.gov.au";;"McMillan";"LP";;"http://www.russellbroadbent.com.au/";;1;0;"46C Albert Street";;"Warragul";"Vic";3820;"(03) 5623 2064";;"(03) 5623 2509";3;1;"PO Box 6037";"Parliament House";"Canberra";"ACT";2615;"(02) 6277 4233";;"(02) 6277 8485";;;;;;;;;;
;"Ms";"Gai";"Brodtmann";;"gai.brodtmann.mp@aph.gov.au";;"Canberra";"ALP";;"http://www.gaibrodtmann.com.au/";;1;0;"205 Anketell St";;"Tuggeranong";"ACT";2900;"(02) 6293 1344";;"(02) 6293 1068";3;1;"PO Box 6038";"Parliament House";"Canberra";"ACT";2616;"(02) 6277 4811";;"(02) 6277 8585";;;;;;;;;;
;"Mr";"Scott";"Buchholz";;"Scott.Buchholz.MP@aph.gov.au";;"Wright";"LP";;"http://www.scottbuchholz.com.au/";"ScottBuchholzMP";1;1;"PO Box 628";;"Beaudesert";"Qld";4285;"(07) 5541 0150";;"(07) 5541 4150";3;1;"PO Box 6039";"Parliament House";"Canberra";"ACT";2617;"(02) 6277 4449";;"(02) 6277 8408";;;;;;;;;;
;"Ms";"Anna";"Burke";"Deputy Speaker";"Anna.Burke.MP@aph.gov.au";;"Chisholm";"ALP";;"http://www.annaburke.com/";;1;1;"PO Box 3042";;"Syndal";"Vic";3149;"(03) 9802 0566";;"(03) 9802 0588";3;1;"PO Box 6040";"Parliament House";"Canberra";"ACT";2618;"(02) 6277 4127";;"(02) 6277 8528";;;;;;;;;;
;"Mr";"Tony";"Burke";"Minister for Sustainability, Environment, Water, Population and Communities";"Tony.Burke.MP@aph.gov.au";;"Watson";"ALP";;"http://www.tonyburke.com.au/";"tony_burke";1;1;"PO Box 156";;"Roselands";"NSW";2196;"(02) 9750 9088";;"(02) 9750 9288";3;1;"PO Box 6041";"Parliament House";"Canberra";"ACT";2619;"(02) 6277 7640";;"(02) 6273 6101";;;;;;;;;;
;"Mr";"Mark";"Butler";"Minister for Mental Health and Ageing, Minister for Social Inclusion, Minister Assisting the Prime Minister on Mental Health Reform";;;"Port Adelaide";"ALP";;;;1;1;"PO Box 2038";;"Port Adelaide";"SA";5015;"(08) 8242 0733";;"(08) 8242 0744";3;1;"PO Box 6042";"Parliament House";"Canberra";"ACT";2620;"(02) 6277 7280";;"(02) 6273 4138";;;;;;;;;;
;"Mr";"Anthony";"Byrne";;;;"Holt";"ALP";;;;1;0;"Shop HM 2B";"8-10 Overland Drive";"Fountain Gate";"Vic";3805;"(03) 9796 7533";;"(03) 9796 7088";3;1;"PO Box 6043";"Parliament House";"Canberra";"ACT";2621;"(02) 6277 4309";;"(02) 6277 8473";;;;;;;;;;
;"Mr";"Nick";"Champion";;;;"Wakefield";"ALP";;;;1;1;"PO Box 288";;"Smithfield";"SA";5114;"(08) 8284 2422";"1300 780 170";"(08) 8284 2433";3;1;"PO Box 6044";"Parliament House";"Canberra";"ACT";2622;"(02) 6277 4451";;"(02) 6277 8511";;;;;;;;;;
;"Mr";"Darren";"Cheeseman";;;;"Corangamite";"ALP";;;;1;0;"Shop 3A";"195 Colac Road";"Waurn Ponds";"Vic";3216;"(03) 5243 2400";"1300 661 352";"(03) 5241 1863";3;1;"PO Box 6045";"Parliament House";"Canberra";"ACT";2623;"(02) 6277 4702";;"(02) 6277 8524";;;;;;;;;;
;"Mr";"Darren";"Chester";;;;"Gippsland";"Nats";;;;1;1;"PO Box 486";;"Sale";"Vic";3850;"(03) 5144 6744";;"(03) 5144 3945";3;1;"PO Box 6046";"Parliament House";"Canberra";"ACT";2624;"(02) 6277 4029";;"(02) 6277 8402";;;;;;;;;;
;"Mr";"George";"Christensen";;;;"Dawson";"Nats";;;;1;1;"PO Box 1697";;"Mackay";"Qld";4740;"(07) 4944 0662";"1300 301 979";"(07) 4944 0575";3;1;"PO Box 6047";"Parliament House";"Canberra";"ACT";2625;"(02) 6277 4538";;"(02) 6277 8508";;;;;;;;;;
;"Mr";"Steven";"Ciobo";;;;"Moncrieff";"LP";;;;1;1;"PO Box 4922";;"Gold Coast Mail Centre";"Qld";9726;"(07) 5504 6000";;"(07) 5504 6944";3;1;"PO Box 6048";"Parliament House";"Canberra";"ACT";2626;"(02) 6277 2330";;"(02) 6277 8452";;;;;;;;;;
;"Mr";"Jason";"Clare";"Minister for Home Affairs, Minister for Justice, Minister for Defence Materiel";;;"Blaxland";"ALP";;;;1;1;"PO Box 153";;"Bankstown";"NSW";1885;"(02) 9790 2466";;"(02) 9790 0770";3;1;"PO Box 6049";"Parliament House";"Canberra";"ACT";2627;"(02) 6277 7290";;"(02) 6273 7098";;;;;;;;;;
;"Mr";"John";"Cobb";;;;"Calare";"Nats";;;;1;1;"PO Box 673";;"Orange";"NSW";2800;"(02) 6361 7138";;"(02) 6362 3480";3;1;"PO Box 6050";"Parliament House";"Canberra";"ACT";2628;"(02) 6277 4721";;"(02) 6277 8543";;;;;;;;;;
;"Ms";"Julie";"Collins";"Minister for Community Services, Minister for Indigenous Employment and Economic Development, Minister for the Status of Women";;;"Franklin";"ALP";;;;1;1;"PO Box 38";;"Rosny Park";"Tas";7018;"(03) 6244 1222";;"(03) 6244 1211";3;1;"PO Box 6051";"Parliament House";"Canberra";"ACT";2629;"(02) 6277 7780";;"(02) 6273 7096";;;;;;;;;;
;"Mr";"Greg";"Combet";"Minister for Climate Change and Energy Efficiency, Minister for Industry and Innovation";;;"Charlton";"ALP";;;;1;1;"PO Box 747";;"Cardiff";"NSW";2285;"(02) 4954 2611";;"(02) 4954 2655";3;1;"PO Box 6052";"Parliament House";"Canberra";"ACT";2630;"(02) 6277 7920";;"(02) 6273 7330";;;;;;;;;;
;"Mr";"Mark";"Coulton";"The Nationals Chief Whip";;;"Parkes";"Nats";;;;1;0;"Shop 3";"153 Brisbane Street";"Dubbo";"NSW";2830;"(02) 6882 0999";;"(02) 6882 9935";3;1;"PO Box 6053";"Parliament House";"Canberra";"ACT";2631;"(02) 6277 4607";;"(02) 6277 8504";;;;;;;;;;
;"Mr";"Simon";"Crean";"Minister for Regional Australia, Regional Development and Local Government, Minister for the Arts";;;"Hotham";"ALP";;;;1;1;"PO Box 5295";;"Clayton";"Vic";3168;"(03) 9545 6211";;"(03) 9545 6299";3;1;"PO Box 6054";"Parliament House";"Canberra";"ACT";2632;"(02) 6277 7380";;"(02) 6273 4117";;;;;;;;;;
;"Mr";"Tony";"Crook";;;;"O'Connor";"NatsWA";;;;1;1;"PO Box 10415";;"Kalgoorlie";"WA";6433;"(08) 9021 1241";"1300 772 061";"(08) 9021 1506";3;1;"PO Box 6055";"Parliament House";"Canberra";"ACT";2633;"(02) 6277 4105";;"(02) 6277 8471";;;;;;;;;;
;"Mr";"Michael";"Danby";;;;"Melbourne Ports";"ALP";;;;1;1;"PO Box 2086";;"St Kilda West";"Vic";3182;"(03) 9534 8126";;"(03) 9534 1575";3;1;"PO Box 6056";"Parliament House";"Canberra";"ACT";2634;"(02) 6277 4520";;"(02) 6277 8480";;;;;;;;;;
;"Mrs";"Yvette";"D'Ath";;;;"Petrie";"ALP";;;;1;1;"PO Box 667";;"Aspley";"Qld";4034;"(07) 3863 6888";;"(07) 3863 2889";3;1;"PO Box 6057";"Parliament House";"Canberra";"ACT";2635;"(02) 6277 4501";;"(02) 6277 8442";;;;;;;;;;
;"Mr";"Mark";"Dreyfus";"Cabinet Secretary, Parliamentary Secretary for Climate Change and Energy Efficiency, Parliamentary Secretary for Industry and Innnovation";;;"Isaacs";"ALP";;;;1;0;"Shop No. 6, Parkmore Shopping Centre";"Cheltenham Road";"Keysborough";"Vic";3173;"(03) 9769 1955";;"(03) 9769 1977";3;1;"PO Box 6058";"Parliament House";"Canberra";"ACT";2636;"(02) 6277 4305";;"(02) 6277 8484";;;;;;;;;;
;"Mr";"Peter";"Dutton";;;;"Dickson";"LP";;;;1;1;"PO Box 2012";;"Strathpine";"Qld";4500;"(07) 3205 9977";;"(07) 3205 5111";3;1;"PO Box 6059";"Parliament House";"Canberra";"ACT";2637;"(02) 6277 4884";;"(02) 6277 8572";;;;;;;;;;
;"Mrs";"Justine";"Elliot";"Parliamentary Secretary for Trade";;;"Richmond";"ALP";;;;1;1;"PO Box 6996";;"Tweed Heads South";"NSW";2486;"(07) 5523 4371";;"(07) 5523 4379";3;1;"PO Box 6060";"Parliament House";"Canberra";"ACT";2638;"(02) 6277 4554";;"(02) 6277 8520";;;;;;;;;;
;"Ms";"Kate";"Ellis";"Minister for Employment Participation, Minister for Early Childhood and Childcare";;;"Adelaide";"ALP";;;;1;0;"161 Main North Road";;;"SA";5083;"(08) 8269 2433";;"(08) 8269 2488";3;1;"PO Box 6061";"Parliament House";"Canberra";"ACT";2639;"(02) 6277 7630";;"(02) 6273 5188";;;;;;;;;;
;"Dr";"Craig";"Emerson";"Minister for Trade and Competitiveness";;;"Rankin";"ALP";;;;1;1;"PO Box 349";;"Woodridge";"Qld";4114;"(07) 3299 5910";;"(07) 3208 8744";3;1;"PO Box 6062";"Parliament House";"Canberra";"ACT";2640;"(02) 6277 7420";;"(02) 6273 4128";;;;;;;;;;
;"Mr";"Warren";"Entsch";"Chief Opposition Whip";;;"Leichhardt";"LP";;;;1;1;"PO Box 14";;"Bungalow";"Qld";4870;"(07) 4051 2220";;"(07) 4031 1592";3;1;"PO Box 6063";"Parliament House";"Canberra";"ACT";2641;"(02) 6277 4088";;"(02) 6277 8468";;;;;;;;;;
;"Mr";"Laurie";"Ferguson";;;;"Werriwa";"ALP";;;;1;1;"PO Box 191";;"Ingleburn";"NSW";1890;"(02) 9829 7477";;"(02) 9829 7499";3;1;"PO Box 6064";"Parliament House";"Canberra";"ACT";2642;"(02) 6277 4920";;"(02) 6277 8507";;;;;;;;;;
;"Mr";"Martin";"Ferguson";"Minister for Resources and Energy, Minister for Tourism";;;"Batman";"ALP";;;;1;0;"159 High Street";;"Preston";"Vic";3072;"(03) 9416 8690";;"(03) 9416 7810";3;1;"PO Box 6065";"Parliament House";"Canberra";"ACT";2643;"(02) 6277 7930";;"(02) 6273 0434";;;;;;;;;;
;"Mr";"Joel";"Fitzgibbon";"Chief Government Whip";;;"Hunter";"ALP";;;;1;1;"PO Box 526";;"Cessnock";"NSW";2325;"(02) 4991 1022";;"(02) 4991 2322";3;1;"PO Box 6066";"Parliament House";"Canberra";"ACT";2644;"(02) 6277 4083";;"(02) 6277 2309";;;;;;;;;;
;"Mr";"Paul";"Fletcher";;;;"Bradfield";"LP";;;;1;0;"Suite 8";"12 Tryon Road";"Lindfield";"NSW";2070;"(02) 9465 3950";;"(02) 9465 3999";3;1;"PO Box 6067";"Parliament House";"Canberra";"ACT";2645;"(02) 6277 4240";;"(02) 6277 8457";;;;;;;;;;
;"Mr";"John";"Forrest";;;;"Mallee";"Nats";;;;1;1;"PO Box 487";;"Swan Hill";"Vic";3585;"(03) 5032 4510";;"(03) 5032 9407";3;1;"PO Box 6068";"Parliament House";"Canberra";"ACT";2646;"(02) 6277 4550";;"(02) 6277 8532";;;;;;;;;;
;"Mr";"Josh";"Frydenberg";;;;"Kooyong";"LP";;;;1;0;"695 Burke Road";;"Camberwell";"Vic";3124;"(03) 9882 3677";;"(03) 9882 3773";3;1;"PO Box 6069";"Parliament House";"Canberra";"ACT";2647;"(02) 6277 4606";;"(02) 6277 8546";;;;;;;;;;
;"Ms";"Teresa";"Gambaro";;;;"Brisbane";"LP";;;;1;1;"PO Box 98";;"Grange";"Qld";4051;"(07) 3356 1555";;;3;1;"PO Box 6070";"Parliament House";"Canberra";"ACT";2648;"(02) 6277 4331";;"(02) 6277 8515";;;;;;;;;;
;"Mr";"Peter";"Garrett";"Minister for School Education, Early Childhood and Youth";;;"Kingsford Smith";"ALP";;;;1;1;"PO Box 249";;"Maroubra";"NSW";2035;"(02) 9349 6007";;"(02) 9349 8089";3;1;"PO Box 6071";"Parliament House";"Canberra";"ACT";2649;"(02) 6277 7350";;"(02) 6273 4134";;;;;;;;;;
;"Mrs";"Joanna";"Gash";;;;"Gilmore";"LP";;;;1;1;"PO Box 1009";;"Nowra";"NSW";2541;"(02) 4423 1782";;"(02) 4423 1785";3;1;"PO Box 6072";"Parliament House";"Canberra";"ACT";2650;"(02) 6277 4357";;"(02) 6277 8475";;;;;;;;;;
;"Mr";"Steve";"Georganas";;;;"Hindmarsh";"ALP";;;;1;0;"Shop 2";"670 ANZAC Highway";"Glenelg";"SA";5045;"(08) 8376 9000";;"(08) 8376 7888";3;1;"PO Box 6073";"Parliament House";"Canberra";"ACT";2651;"(02) 6277 4415";;"(02) 6277 8438";;;;;;;;;;
;"Mr";"Steve";"Gibbons";;;;"Bendigo";"ALP";;;;1;1;"PO Box 338";;"Bendigo";"Vic";3550;"(03) 5443 9055";;"(03) 5443 9736";3;1;"PO Box 6074";"Parliament House";"Canberra";"ACT";2652;"(02) 6277 2230";;"(02) 6277 8564";;;;;;;;;;
;"Ms";"Julia";"Gillard";"Prime Minister";;;"Lalor";"ALP";;;;1;1;"PO Locked Bag 14";;"Werribee";"Vic";3030;"(03) 9742 5800";;"(03) 9741 6213";3;1;"PO Box 6075";"Parliament House";"Canberra";"ACT";2653;"(02) 6277 7700";;"(02) 6273 4100";;;;;;;;;;
;"Mr";"Gary";"Gray";"Special Minister of State, Minister for the Public Service and Integrity";;;"Brand";"ALP";;;;1;0;"1/15 Kent Street";;;"WA";6168;"(08) 9527 9377";;"(08) 9592 1361";3;1;"PO Box 6076";"Parliament House";"Canberra";"ACT";2654;"(02) 6277 7600";;"(02) 6273 4541";;;;;;;;;;
;"Ms";"Sharon";"Grierson";;;;"Newcastle";"ALP";;;;1;0;"427 Hunter Street";;"Newcastle";"NSW";2300;"(02) 4926 1555";;"(02) 4926 1895";3;1;"PO Box 6077";"Parliament House";"Canberra";"ACT";2655;"(02) 6277 4221";;"(02) 6277 8461";;;;;;;;;;
;"Mr";"Alan";"Griffin";;;;"Bruce";"ALP";;;;1;1;"PO Box 1034";;"Waverley Gardens";"Vic";3170;"(03) 9547 1444";;"(03) 9547 7944";3;1;"PO Box 6078";"Parliament House";"Canberra";"ACT";2656;"(02) 6277 4303";;"(02) 6277 8499";;;;;;;;;;
