"Id";"Title";"First Name";"Second Name";"Job";"Email";"Alternative Email";"Electorate";"Party";"Portfolios";"Website";"Twitter";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax"
;;;"Atkinson";;"croydon@parliament.sa.gov.au";;"Croydon";;;;;;;"488 Port Road";;"Welland";"SA";5007;;;;;;;;;;;;;;;;;;;;;;;
;;;"Bedford";;"florey@parliament.sa.gov.au";;"Florey";;;;;;;"PO Box 143";;"Modbury North";"SA";5092;;;;;;;;;;;;;;;;;;;;;;;
;;;"Bignell";;"mawson@parliament.sa.gov.au";;"Mawson";;;;;;;"PO Box 158";;"Woodcroft";"SA";5162;;;;;;;;;;;;;;;;;;;;;;;
;;;"Breuer";;"giles@parliament.sa.gov.au";;"Giles";;;;;;;"PO Box 2476";;"Whyalla Norrie";"SA";5608;;;;;;;;;;;;;;;;;;;;;;;
;;;"Brock";;"frome@parliament.sa.gov.au";;"Frome";;;;;;;"PO Box 519";;"Port Pirie";"SA";5540;;;;;;;;;;;;;;;;;;;;;;;
;;;"Caica";;"colton@parliament.sa.gov.au";;"Colton";;;;;;;"PO Box 9006";;"Henley Beach South";"SA";5022;;;;;;;;;;;;;;;;;;;;;;;
;;;"Chapman";;"bragg@parliament.sa.gov.au";;"Bragg";;;;;;;"357 Greenhill Road";;"Toorak Gardens";"SA";5065;;;;;;;;;;;;;;;;;;;;;;;
;;;"Conlon";;"elder@parliament.sa.gov.au";;"Elder";;;;;;;"967 South Road";;"Melrose Park";"SA";5039;;;;;;;;;;;;;;;;;;;;;;;
;;;"Evans";;"davenport@parliament.sa.gov.au";;"Davenport";;;;;;;"1/7-9 Young Street";;"Blackwood";"SA";5051;;;;;;;;;;;;;;;;;;;;;;;
;;;"Fox";;"bright@parliament.sa.gov.au";;"Bright";;;;;;;"7 Sturt Road";;"Brighton";"SA";5048;;;;;;;;;;;;;;;;;;;;;;;
;;;"Gardner";;"morialta@parliament.sa.gov.au";;"Morialta";;;;;;;"163 St Bernards Road";;"Rostrevor";"SA";5073;;;;;;;;;;;;;;;;;;;;;;;
;;;"Geraghty";;"torrens@parliament.sa.gov.au";;"Torrens";;;;;;;"Shop 8";"511-529 North East Road";"Gilles Plains";"SA";5086;;;;;;;;;;;;;;;;;;;;;;;
