"Id";"Title";"First Name";"Second Name";"Job";"Email";"Alternative Email";"Electorate";"Party";"Portfolios";"Website";"Twitter";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax"
;"Ms";"Elise";"Archer";"Opposition Whip";"elise.archer@parliament.tas.gov.au";;"Denison";"LIB";;;;;;"62 Main Road";;"Moonah";"TAS";7009;"(03) 6233 5995";;"(03) 6233 5484";;;"House of Assembly";"Parliament House";"Hobart";"TAS";7000;"(03) 6233 3326";;"(03) 6233 2823";;;;;;;;;;
;"Mr";"Scott";"Bacon";"Minister for Tourism. Minister for Hospitality. Minister for Veterans’ Affairs";"scott.bacon@parliament.tas.gov.au";;"Denison";"ALP";;;;;;"353 Main Road";;"Glenorchy";"TAS";7010;"(03) 6233 8874";;"(03) 6233 8878";;;"House of Assembly";"Parliament House";"Hobart";"TAS";7000;"(03) 6233 2985";;"(03) 6233 8878";;;;;;;;;;
;"Mr";"Brenton";"Best";"Parliamentary Secretary to the Premier (North West Economy).";"brenton.best@parliament.tas.gov.au";;"Braddon";"ALP";;;;;;"68 Rooke Street Mall";;"Devonport";"TAS";7310;"(03) 6421 7889";;"(03) 6421 7888";;;"PO Box 373";;"Devonport";"TAS";7310;;;;;;;;;;;;;
;;"Kim";"Booth";;"kim.booth@parliament.tas.gov.au";;"Bass";"GRN";;;;;;"Level 1";"162 Macquarie Street";"Hobart";"TAS";7000;"(03) 6233 8300";;"(03) 6223 1406";;;"1st Floor, Henty House";"1 Civic Square";"Launceston";"TAS";7250;"(03) 6336 2294";;"(03) 6336 2522";;;;;;;;;;
;"Mr";"Adam";"Brooks";;"adam.brooks@parliament.tas.gov.au";;"Braddon";"LIB";;;;;;"64 Wilson Street";;"Burnie";"TAS";7320;"(03) 6434 6391";;"(03) 6434 6221";;;"House of Assembly";"Parliament House";"Hobart";"TAS";7000;"(03) 6233 2448";;"(03) 6233 2823";;;;;;;;;;
;"Mr";"Michael";"Ferguson";;"michael.ferguson@parliament.tas.gov.au";;"Bass";"LIB";;;;;;"4th Floor, Henty House";"1 Civic Square";"Launceston";"TAS";7250;"(03) 6336 2427";;"(03) 6301 9224";;;"House of Assembly";"Parliament House";"Hobart";"TAS";7000;"(03) 6233 7482";;"(03) 6233 2823";;;;;;;;;;
;"Ms";"Lara";"Giddings";"Premier
Treasurer
Minister for the Arts";"lara.giddings@parliament.tas.gov.au";;"Franklin";"ALP";;;;;;"11th Floor, Executive Building";"15 Murray Street";"Hobart";"TAS";7000;"(03) 6233 3464";;"(03) 6234 1572";;;"House of Assembly";"Parliament House";"Hobart";"TAS";7000;;;;;;;;;;;;;
;"Mr";"Bryan";"Green";"Deputy Premier
Minister for Primary Industries and Water. Minister for Energy and Resources. Minister for Local Government.
Minister for Planning.
Minister for Racing.";"bryan.green@parliament.tas.gov.au";;"Braddon";"ALP";;;;;;"Parliamentary Offices";"80B Wilson Street";"Burnie";"TAS";7320;"(03) 6434 6252";;"(03) 6434 6352";;;"10th Floor, Executive Building";"15 Murray Street";"Hobart";"TAS";7000;"(03) 6233 6454";;"(03) 6233 2272";;;"House of Assembly";"Parliament House";"Hobart";"TAS";7000;"(03) 6233 2137";;"(03) 6233 8667"
;"Mr";"Matthew";"Groom";;"matthew.groom@parliament.tas.gov.au";;"Denison";"LIB";;;;;;"Level 1 – Reserve Bank Building";"111 Macquarie Street";"Hobart";"TAS";7000;"(03) 6233 2433";;"(03) 6223 2406";;;"House of Assembly";"Parliament House";"Hobart";"TAS";7000;"(03) 6233 3730";;"(03) 6233 2823";;;;;;;;;;
;"Mr";"Peter";"Gutwein";;"peter.gutwein@parliament.tas.gov.au";;"Bass";"LIB";;;;;;"4th Floor, Henty House";"1 Civic Square";"Launceston";"TAS";7250;"(03) 6336 2671";;"(03) 6334 1487";;;"House of Assembly";"Parliament House";"Hobart";"TAS";7000;"(03) 6233 6771";;"(03) 6233 2823";;;;;;;;;;
