"Id";"Title";"First Name";"Second Name";"Job";"Email";"Alternative Email";"Electorate";"Party";"Portfolios";"Website";"Twitter";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax"
;"Ms";"Rosemary";"Armitage";;"rosemary.armitage@parliament.tas.gov.au";;"Launceston";"IND";;;;;;"One Civic Square";;"Launceston";"TAS";7250;"(03) 6336 2200";;"(03) 6331 1606";;;"Parliament House";;"Hobart";"TAS";7000;"(03) 6212 2353";;;;;;;;;;;;
;"Mr";"Ivan";"Dean";;"ivan.dean@parliament.tas.gov.au";;"Windermere";"IND";;;;;;"One Civic Square";;"Launceston";"TAS";7250;"(03) 6336 2774";;"(03) 6331 1606";;;"Parliament House";;"Hobart";"TAS";7000;"(03) 6233 2295";;;;;;;;;;;;
;"Mr";"Craig";"Farrell";"Deputy Leader of the Government";"craig.farrell@parliament.tas.gov.au";;"Derwent";"ALP";;;;;;"60 High Street";;"New Norfolk";"TAS";7140;"(03) 6261 8040";;"(03) 6261 8042";;;"Parliament House";;"Hobart";"TAS";7000;"(03) 6212 2354";;"(03) 6223 6131";;;;;;;;;;
;;"Kerry";"Finch";"Third Deputy Chair of Committees";"kerry.finch@parliament.tas.gov.au";;"Rosevears";"IND";;"http://kerryfinch.com";;;;"One Civic Square";;"Launceston";"TAS";7250;"(03) 6336 2201";;"(03) 6331 1606";;;"Parliament House";;"Hobart";"TAS";7000;"(03) 6233 2346";;;;;;;;;;;;
;"Ms";"Ruth";"Forrest";;"ruth.forrest@parliament.tas.gov.au";;"Murchison";"IND";;;;;;"PO Box 104";;"Wynyard";"TAS";7325;"(03) 6443 8600";;"(03) 6443 8603";;;"Parliament House";;"Hobart";"TAS";7000;"(03) 6233 2316";;;;;;;;;;;;
;"Mr";"Michael";"Gaffney";;"Michael.gaffney@parliament.tas.gov.au";;"Mersey";"IND";;;;;;"Shop 3, Lauriston Arcade";"126 Best Street";"Devonport";"TAS";7310;"(03) 6421 7679";;"(03) 6423 5804";;;"Parliament House";;"Hobart";"TAS";7000;"03) 6233 2340";;;;;;;;;;;;
;"Ms";"Vanessa";"Goodwin";"Shadow Attorney General
Shadow Minister for Justice. Shadow Minister for Corrections.";"Vanessa.goodwin@parliament.tas.gov.au";;"Pembroke";"LIB";;;;;;"3/90 Clarence Street";;"Bellerive";"TAS";7018;"(03) 6233 2296";;"(03) 6244 8392";;;"Parliament House";;"Hobart";"TAS";7000;;;;;;;;;;;;;
;"Mr";"Gregory";"Hall";"Deputy President
Chair of Committees";"greg.hall@parliament.tas.gov.au";;"Western Tiers";"IND";;"http://greghall.id.au";;;;"PO Box 361";;"Deloraine";"TAS";7304;"(03) 6362 8020";;"(03) 6362 8022";;;"Parliament House";;"Hobart";"TAS";7000;"(03) 6233 2347";;;;;;;;;;;;
;"Mr";"Paul";"Harriss";"Second Deputy Chair of Committees";"paul.harriss@parliament.tas.gov.au";;"Huon";"IND";;;;;;"Suite7, 1st Floor";"16 Main Street";"Huonville";"TAS";7109;"(03) 6264 8485";;"(03) 6264 3467";;;"PO Box 252";;"Huonville";"TAS";7109;"(03) 6212 2341";;;;;"Parliament House";;"Hobart";"TAS";7000;;;
;"Mr";"Tony";"Mulder";;"rumney@parliament.tas.gov.au";;"Rumney";"IND";;;;;;"1/ 27 South Arm Road";;"Rokeby";"TAS";7019;"(03) 6214 6012";;"(03) 6247 6572";;;"Parliament House";;"Hobart";"TAS";7000;"(03) 6212 2334";;"(03) 6247 6572";;;;;;;;;;
;"Mr";"Douglas";"Parkinson";"Leader of the Government";"doug.parkinson@parliament.tas.gov.au";;"Hobart";"ALP";;"http://dougparkinson.net";;;;"Parliament House";;"Hobart";"TAS";7000;"(03) 6233 3069";;"(03) 6223 6131";;;;;;;;;;;;;;;;;;;;
;"Ms";"Tania";"Rattray";;"tania.rattray@parliament.tas.gov.au";;"Apsley";"IND";;;;;;"16 King Street";;"Scottsdale";"TAS";7260;"(03) 6352 6497";;"(03) 6352 3639";;;"Parliament House";;"Hobart";"TAS";7000;"(03) 6212 2350";;;;;;;;;;;;
;"Ms";"Susan";"Smith";"President";"sue.smith@parliament.tas.gov.au";;"Montgomery";"IND";;;;;;"36 King Edward St";;"Ulverstone";"TAS";7315;"(03) 6429 8784";;"(03) 6425 7519";;;"PO Box 179";;"Ulverstone";"TAS";7315;"(03) 6233 2322";;;;;"Parliament House";;"Hobart";"TAS";7000;;;
;"Ms";"Adriana";"Taylor";;"adriana.taylor@parliament.tas.gov.au";;"Elwick";"IND";;;;;;"6/332-334 Main Road";;"Glenorchy";"TAS";7010;"(03) 6233 5190";;"(03) 6233 5194";;;"Parliament House";;"Hobart";"TAS";7000;;;;;;;;;;;;;
;"Mr";"Jim";"Wilkinson";;"jim.wilkinson@parliament.tas.gov.au";;"Nelson";"IND";;;;;;"Parliament House";;"Hobart";"TAS";7000;"(03) 6233 2980";;"(03) 6231 1849";;;;;;;;;;;;;;;;;;;;
