"Id";"Title";"First Name";"Second Name";"Job";"Email";"Electorate";"Party";"Portfolios";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax"
;"Mr";"Bruce";"Atkinson";"President of the Legislative Council; ";"bruce.atkinson@parliament.vic.gov.au";"Eastern Metropolitan";"LIB";;1;0;"153-155 Springvale Road";;"Nunawading";"VIC";3131;"(03) 9877 7188";;"(03) 9877 7199";1;1;"PO Box 280";" ";"Nunawading";"VIC";3131;;;;;;;;;;;;;
;"Mr";"Greg";"Barber";"Leader of The Australian Greens; ";"greg.barber@parliament.vic.gov.au";"Northern Metropolitan";"GRN";;1;0;"Suite G-01";"60 Leicester Street";"Carlton";"VIC";3053;"(03) 9348 2622";;"(03) 9348 2699";;;;" ";;;;;;;;;;;;;;;;
;"Ms";"Candy";"Broad";"Shadow Cabinet Secretary; ";"candy.broad@parliament.vic.gov.au";"Northern Victoria";"ALP";;1;0;"Suite 4";"33-35 Macedon Street";"Sunbury";"VIC";3429;"(03) 9740 4091";;"(03) 9740 4978";;;;" ";;;;;;;;;;;;;;;;
;"Mrs";"Andrea";"Coote";"Parliamentary Secretary for Families and Community Services; ";"andrea.coote@parliament.vic.gov.au";"Southern Metropolitan";"LIB";;1;0;"306 Bay Street";;"Port Melbourne";"VIC";3207;"(03) 9681 9555";;"(03) 9681 9792";;;;" ";;;;;;;;;;;;;;;;
;"Ms";"Georgie";"Crozier";;"georgie.crozier@parliament.vic.gov.au";"Southern Metropolitan";"LIB";;1;0;"Shops 1 & 2";"667-669 Glenhuntly Road";"Caulfield";"VIC";3162;"(03) 9555 4101";;"(03) 9555 3810";;;;" ";;;;;;;;;;;;;;;;
;"Mr";"Richard";"Dalla-Riva";"Minister for Employment and Industrial Relations; Minister for Manufacturing, Exports and Trade; ";"richard.dalla-riva@parliament.vic.gov.au";"Eastern Metropolitan";"LIB";;1;0;"Suite 10";"477 Burwood Highway";"Vermont South";"VIC";3133;"(03) 9803 0592";;"(03) 9803 0586";3;0;"Level 36";"121 Exhibition Street";"Melbourne";"VIC";3000;"(03) 9653 9700";;"(03) 9653 9850";;;;;;;;;;
;"Ms";"Kaye";"Darveniza";;"kaye.darveniza@parliament.vic.gov.au";"Northern Victoria";"ALP";;1;0;"316 Wyndham Street";;"Shepparton";"VIC";3630;"(03) 5831 6521";;"(03) 5821 5615";1;1;"PO Box 1838";" ";"Shepparton";"VIC";3630;;;;;;;;;;;;;
;"Mr";"David";"Davis";"Leader of the Government in the Legislative Council; Minister for Health; Minister for Ageing; ";"david.davis@parliament.vic.gov.au";"Southern Metropolitan";"LIB";;1;0;"Suite 4";"976 Riversdale Road";"Surrey Hills";"VIC";3127;"(03) 9888 6244";;"(03) 9888 6529";3;0;"Level 22";"50 Lonsdale Street";"Melbourne";"VIC";3000;"(03) 9096 8561";;"(03) 9096 3373";;;;;;;;;;
;"Mr";"Philip";"Davis";;"philip.davis@parliament.vic.gov.au";"Eastern Victoria";"LIB";;1;0;"Shop 2/3";"424 Raymond Street";"Sale";"VIC";3850;"(03) 5143 1038";;"(03) 5143 1057";1;1;"PO Box 9210";" ";"Sale";"VIC";3853;;;;;;;;;;;;;
;"Mr";"Damian";"Drum";"Deputy Leader of The Nationals in the Legislative Council; Parliamentary Secretary for Regional Development; National Party Whip in the Legislative Council; ";"damian.drum@parliament.vic.gov.au";"Northern Victoria";"NAT";;1;0;"239 Barnard Street";;"Bendigo";"VIC";3550;"(03) 5443 6277";;"(03) 5443 5108";;;;" ";;;;;;;;;;;;;;;;
