"Id";"Title";"First Name";"Second Name";"Job";"Email";"Alternative Email";"Electorate";"Party";"Portfolios";"Website";"Twitter";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";"Address Type";"Postal";"Address 1";"Address 2";"Suburb";"State";"Pcode";"Phone";"Tollfree";"Fax";;;;;;
;"Mr";"Peter";"Abetz";;"peter.abetz@mp.wa.gov.au";;"Southern River";;;;;;;;;;;;;;;1;0;"Unit 4";"2 Furley Road";"Southern River";"WA";6110;;;;;;;;;;;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"Frank";"Alban";;"frank.alban@mp.wa.gov.au";;"Swan Hills";;;;;;;;;;;;;;;1;0;"Unit 3";"28-32 Main Street";"Ellenbrook";"WA";6069;;;;;;;;;;;;;;3;0;"Parliament House";;"Perth";6000
;"Ms";"Lisa";"Baker";;"lisa.baker@mp.wa.gov.au";;"Maylands";;;;;;;;;;;;;;;1;1;"PO Box 97";;"Inglewood";"WA";6932;;;;1;0;"946 Beaufort Street";;"Mt Lawley";"WA";6052;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"Colin";"Barnett";"Premier; Minister for State Development";"cottesloe@mp.wa.gov.au";"wa-government@dpc.wa.gov.au";"Cottesloe";;;;;4;0;"24th Floor, Governor Stirling Tower";"197 St Georges Terrace";"Perth";"WA";6000;;;;1;0;"Suite 12";"589 Stirling Highway";"Cottesloe";"WA";6011;;;;;;;;;;;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"Ian";"Blayney";;"geraldton@mp.wa.gov.au";;"Geraldton";;;;;;;;;;;;;;;1;0;"Shop 2";"5 Chapman Road";"Geraldton";"WA";6530;;;;;;;;;;;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"John";"Bowler";;"john.bowler@mp.wa.gov.au";;"Kalgoorlie";;;;;;;;;;;;;;;1;1;"PO Box 10406";;"Kalgoorlie";"WA";6433;;;;1;0;"305 Hannan Street";;"Kalgoorlie";"WA";6430;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"Ian";"Britza";;"ian.britza@mp.wa.gov.au";;"Morley";;;;;;;;;;;;;;;1;1;"Box 126, Centro Galleria Shopping Centre";;"Morley";"WA";6062;;;;1;0;"Suite 1, Centro Galleria Shopping Centre";"Collier Road";"Morley";;6062;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"Troy";"Buswell";"Minister for Transport; Housing; Emergency Services";"troy.buswell@mp.wa.gov.au";;"Vasse";;;;;4;0;"10th Floor, Dumas House";"2 Havelock Street";"West Perth";"WA";6005;;;;1;1;"PO Box 516";;"Busselton";"WA";6280;;;;1;0;"16 Prince Street";;"Busselton";"WA";6280;;;;3;0;"Parliament House";;"Perth";6000
;"Dr";"Tony";"Buti";;"armadale@mp.wa.gov.au";;"Armadale";;;;;;;;;;;;;;;1;0;"Unit 11";"2756 Albany Hwy";"Kelmscott";"WA";6111;;;;;;;;;;;;;;3;0;"Parliament House";;"Perth";6000
;"Ms";"Adele";"Carles";;"adele.carles@mp.wa.gov.au";;"Fremantle";;;;;;;;;;;;;;;1;0;"Shop 1, Queensgate Centre";"William Street";"Fremantle";"WA";6160;;;;;;;;;;;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"John";"Castrilli";"Minister for Local Government; Heritage; Citizenship and Multicultural Interests";"john.castrilli@mp.wa.gov.au";"Minister.Castrilli@dpc.wa.gov.au";"Bunbury";;;;;4;0;"8th Floor, Dumas House";"2 Havelock Street";"West Perth";"WA";6005;;;;1;1;"PO Box 2009";;"Bunbury";"WA";6230;;;;1;0;"4B Spencer Street";;"Bunbury";"WA";6320;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"Vincent";"Catania";;"vincent.catania@mp.wa.gov.au";;"North West";;;;;;;;;;;;;;;1;1;"PO Box 1000";;"Carnarvon";"WA";6701;;;;1;0;"Shop 14, Carnavron Boulevard Shopping Centre";"Robinson Street";"Carnarvon";"WA";6701;;;;3;0;"Parliament House";;"Perth";6000
;"Dr";"Elizabeth";"Constable";"Minister for Education";"elizabeth.constable@mp.wa.gov.au";"Minister.Constable@dpc.wa.gov.au";"Churchlands";;;;;4;0;"19th Floor, Governor Stirling Tower";"197 St Georges Terrace";"Perth";"WA";6000;;;;1;0;"Suite 4, Selby Square";"271 Selby Street";"Churchlands";"WA";6018;;;;;;;;;;;;;;3;0;"Parliament House";;"Perth";6000
;"Mr";"Roger";"Cook";"Deputy Leader of the Opposition";"kwinana@mp.wa.gov.au";;"Kwinana";;;;;;;;;;;;;;;1;1;"PO Box 428";;"Kwinana";"WA";6966;;;;1;0;"3 Chisham Avenue";;"Kwinana";"WA";6167;;;;3;0;"Parliament House";;"Perth";6000
